ctry_year,CAgdp,STDebt/Res,FXimp,CPI,Taxgdp,InterestRev,RGDPyy,GDPppp,GDPpc,FX,FXchg,CG_DEBT_GDP,default_amount,default,fx_grade,lc_grade,tc_rating,country,year,default_lag1,cluster,fx_numeric,rating_binary,pca1,pca2
TUR_2008,-5.11715,76.5134,3.88957,10.4441,17.5023,14.5816,0.815025,1139550000000.0,10843.5,1.30152,-0.0010821763256659844,37.97831278082,0,0.0,BB-,BB,BB+,TUR,2008,0.0,0,13.0,1,-0.14652166459387198,0.4346581075785834
TUR_2009,-1.74961,74.9068,5.44724,6.25098,18.0739,14.1038,-4.82315,1112440000000.0,9013.0,1.54996,0.19088450427192827,43.924988013882,0,0.0,BB-,BB,BB+,TUR,2009,0.0,0,13.0,1,-0.39574735516773385,1.2290751885465987
TUR_2010,-5.74284,108.192,4.94178,8.56644,18.859,10.8547,8.4271,1268550000000.0,10622.7,1.50285,-0.03039433275697434,40.606355678365,0,0.0,BB,BB+,BBB-,TUR,2010,0.0,0,12.0,1,-0.1049723510530163,0.012335051622960698
TUR_2011,-8.87021,110.24,3.99121,6.47188,18.5709,9.37323,11.2001,1454110000000.0,11300.8,1.67495,0.1145157534018697,36.946387842334,13.61,1.0,BB,BBB-,BBB-,TUR,2011,0.0,0,12.0,1,-0.531585912314915,0.016157820562827108
TUR_2012,-4.74655,96.1909,5.4871,8.89157,18.1072,8.76219,4.78849,1550690000000.0,11713.3,1.796,0.07227081405415103,33.696362639713,0,0.0,BB,BBB-,BBB-,TUR,2012,1.0,1,12.0,1,-1.190393943015883,-0.21156939692438842
TUR_2013,-5.15004,108.279,5.43658,7.49309,18.3638,7.11074,8.48582,1703670000000.0,12578.2,1.90377,0.060005567928730574,32.147867918836,0,0.0,BB+,BBB,BBB,TUR,2013,0.0,0,11.0,1,-0.13327759842471046,-0.0697627807118488
TUR_2014,-3.42015,111.92,5.43866,8.85457,17.9458,7.14414,4.93972,1860470000000.0,12165.2,2.18854,0.14958214490195787,29.807662454065,0,0.0,BB+,BBB,BBB,TUR,2014,0.0,0,11.0,1,-0.34343189776905525,0.30348474432883
TUR_2015,-2.47075,94.665,5.43064,7.67085,18.1808,6.28114,6.08449,2022940000000.0,11050.0,2.72001,0.2428422601368947,28.849975964946,0,0.0,BB+,BBB-,BBB,TUR,2015,0.0,0,11.0,1,-0.46812686584923857,0.1652661245400614
TUR_2016,-2.54898,86.1555,5.39535,7.77513,18.2656,6.15338,3.32308,2116400000000.0,10970.0,3.02013,0.11033782964033234,28.933361004511,0,0.0,BB,BB+,BBB-,TUR,2016,0.0,0,12.0,1,-0.0851721857968292,0.23236804504392813
TUR_2017,-4.09121,101.835,4.76773,11.1443,17.7182,6.89392,7.502,2264270000000.0,10695.6,3.64813,0.20793806889107436,27.969901308174,563,1.0,BB,BB+,BBB-,TUR,2017,0.0,0,12.0,1,-0.6772668710945664,0.09894515084551363
